link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster8_secondary_13_8,7,35,2.45,4.389810699608735,West Ponce de Leon Avenue,"LINESTRING (-84.30280305745836 33.77566350558391, -84.3029233 33.775664499999976, -84.3029922 33.775665099999976, -84.3031522 33.7756662, -84.3033739 33.77566099999999, -84.30344985049287 33.77565922214218)",4.389810699608735,0.0
cluster8_secondary_13_9,7,77,2.3295454545454546,5.78870299098341,West Ponce de Leon Avenue,"LINESTRING (-84.30159760334806 33.775635019575326, -84.3013084 33.775627099999994, -84.3011826 33.7756237, -84.30095054902004 33.77561816038692)",5.78870299098341,0.0
cluster8_secondary_3_1,7,49,2.75,5.718464239619548,Church Street,"LINESTRING (-84.28203410000002 33.7981944, -84.2819082 33.798496, -84.2818667 33.79865000000001, -84.28186047323007 33.79867306212245)",5.718464239619548,0.0
cluster8_secondary_3_10,8,164,1.8433014354066986,5.655346379235531,Church Street,"LINESTRING (-84.28953118697567 33.78756466522929, -84.289436 33.787722, -84.2893672 33.787808299999995, -84.2892713 33.7879288, -84.289225 33.787987, -84.28919032076939 33.78802346545983)",5.655346379235531,0.0
cluster8_secondary_3_13,7,152,1.8484268707482994,5.772626125057178,Church Street,"LINESTRING (-84.28437798522067 33.79327373120334, -84.28454970000001 33.79310619999997, -84.2845632 33.79309309999997, -84.284568 33.793088399999995, -84.2846856 33.792973700000005, -84.2847984483637 33.79286266969853)",5.772626125057178,0.0
cluster8_secondary_3_2,7,157,1.9424054206662902,6.126261772425163,Church Street,"LINESTRING (-84.2948185333237 33.780645806989526, -84.294821 33.78067010000001, -84.294832 33.78077799999999, -84.29489 33.781176, -84.29489070903391 33.78118254118996)",6.126261772425163,0.0
cluster8_secondary_3_4,5,101,2.0966666666666667,11.072324704424272,Church Street,"LINESTRING (-84.2948456 33.7777821, -84.2948422 33.7776686, -84.2948414 33.7776414, -84.2948441 33.7774732, -84.29484412082354 33.7774720234764)",6.403222477584804,4.669102226839467
cluster8_secondary_3_5,8,156,1.9167763157894737,5.789478885382632,Church Street,"LINESTRING (-84.29458524415674 33.78297803985319, -84.2947227 33.78267639999999, -84.2947636 33.78252919999999, -84.29477682459793 33.78246313273463)",5.789478885382632,0.0
cluster8_secondary_3_6,7,105,1.9666666666666666,5.452757820404902,Church Street,"LINESTRING (-84.29436462712206 33.783349301214955, -84.294197 33.78359040000001, -84.29400710312848 33.783798495286725)",5.452757820404902,0.0
cluster8_secondary_3_7,8,117,2.0,5.497744391244931,Church Street,"LINESTRING (-84.29357718474805 33.78422721731492, -84.2934782 33.78431940000001, -84.2934248 33.78436030000001, -84.2932956 33.7845064, -84.293226 33.78458470000001, -84.29317015691632 33.784646744937774)",5.497744391244931,0.0
cluster8_secondary_3_9,7,111,2.0,5.649548950820703,Church Street,"LINESTRING (-84.29107106327855 33.78607981082508, -84.2911498 33.78603939999999, -84.2913299 33.785947, -84.2914506 33.785885, -84.2914729 33.785873499999994, -84.2915931 33.7858112)",5.649548950820703,0.0
cluster8_secondary_4_10,7,176,2.064732142857143,11.407512502513907,Clairemont Avenue,"LINESTRING (-84.29652876036462 33.775740519688114, -84.29652177460898 33.7762808794649)",6.738410275674441,4.669102226839467
cluster8_secondary_4_11,7,158,2.07129329004329,11.214462191491236,Clairemont Avenue,"LINESTRING (-84.29646366634964 33.777727977285956, -84.2964651 33.7776054, -84.2964773 33.77729440000001, -84.2964822 33.777206400000004, -84.29648323328708 33.77718769322292)",6.54535996465177,4.669102226839467
cluster8_secondary_4_7,7,136,1.909722222222222,5.7615068217448835,Clairemont Avenue,"LINESTRING (-84.2978966 33.78096420000001, -84.2980952 33.7811293, -84.2982394 33.7812493, -84.2982838 33.78128529999999)",5.7615068217448835,0.0
cluster8_secondary_4_8,7,153,1.9702814525019492,6.165530161459777,Clairemont Avenue,"LINESTRING (-84.29694155327681 33.77982854464782, -84.2969724 33.7798839, -84.2969919 33.779913, -84.2970188 33.7799538, -84.2970407 33.7799907, -84.2970698 33.7800395, -84.297086 33.78006659999997, -84.2971952 33.7802191, -84.29725766743387 33.780299728892466)",6.165530161459777,0.0
cluster8_secondary_4_9,7,147,2.0357142857142856,10.961581506890324,Clairemont Avenue,"LINESTRING (-84.2965244 33.7790012, -84.2965013 33.7789422, -84.2964779 33.77888249999999, -84.29645 33.778788299999995, -84.2964365 33.7786864, -84.29643660000002 33.778661299999996, -84.2964367 33.77862499999999, -84.2964371 33.7784812)",6.292479280050857,4.669102226839467
cluster8_secondary_5_1,7,112,2.1796875,10.844621937712,Commerce Drive,"LINESTRING (-84.29888860496708 33.774375393975745, -84.2988858 33.7742213, -84.29887880195503 33.773835353523246)",6.175519710872534,4.669102226839467
